"FEATUREID","Latitude","Longitude"
4288519,47.065876,-69.036382
4288605,47.084909,-69.029356
4288517,47.074743,-69.121037
4288617,47.082352,-69.142358
4288633,47.082269,-69.152695
4288365,47.069543,-69.160366
4288369,47.076543,-69.180658
4288629,47.078859,-69.162848
4288353,47.078866,-69.204356
4288639,47.087191,-69.206191
4288527,47.014472,-69.221
4288401,47.044946,-69.220954
4288411,47.032651,-69.208875
4288405,47.040207,-69.201492
4288397,47.050009,-69.204076
4288375,47.064081,-69.19705
4288387,47.049358,-69.182562
4288381,47.056312,-69.178693
4289183,46.995484,-69.351877
4289635,46.99838,-69.394552
4289643,46.973554,-69.390969
4289195,46.980386,-69.351987
4289209,46.963808,-69.384178
4289645,46.965436,-69.390265
4289225,46.945572,-69.361175
4289207,46.966352,-69.351699
4289667,46.937385,-69.437014
4289227,46.930623,-69.395709
4289681,46.923266,-69.443861
4289243,46.903111,-69.405933
4289691,46.905239,-69.457549
4289255,46.898552,-69.448573
4290027,46.889535,-69.430083
4289289,46.815426,-69.538261
4289765,46.825649,-69.539718
4289563,46.818596,-69.492506
4289305,46.791007,-69.521518
4289783,46.780765,-69.567521
4289303,46.786991,-69.559639
4289803,46.779543,-69.584196
4289313,46.777721,-69.584477
4289809,46.778968,-69.591244
4289325,46.770421,-69.59131
4289333,46.757885,-69.560935
4289833,46.763975,-69.586643
4289817,46.777316,-69.596721
4289319,46.773918,-69.59741
4289323,46.770095,-69.598513
4289321,46.772923,-69.599443
4289821,46.774435,-69.599493
4289839,46.757824,-69.603642
4290043,46.7498,-69.60345
4289327,46.75729,-69.60503
4289337,46.733727,-69.595695
4289847,46.743789,-69.626705
4289849,46.744032,-69.628008
4289341,46.733374,-69.635157
4289345,46.705921,-69.626009
4290053,46.707858,-69.646177
4289351,46.715709,-69.610419
4289373,46.681094,-69.659413
4289871,46.703479,-69.677288
4289889,46.698862,-69.717343
4289363,46.69842,-69.720975
4289383,46.659643,-69.712356
4289907,46.675026,-69.737287
4289395,46.637089,-69.709479
4289399,46.627903,-69.726208
4289389,46.646877,-69.758436
4289413,46.617062,-69.761893
4289921,46.651843,-69.750397
4289937,46.62658,-69.766271
4289409,46.620576,-69.749327
4289401,46.63254,-69.761354
4289939,46.618152,-69.761062
4289927,46.635346,-69.749495
4290065,46.612226,-69.756022
4289949,46.618234,-69.788228
4289617,46.597501,-69.74884
4289443,46.558333,-69.837327
4289961,46.573333,-69.833607
4289447,46.528665,-69.848926
4289445,46.533766,-69.815049
4289451,46.521603,-69.845521
4289459,46.523238,-69.781153
4289461,46.50893,-69.752456
4290273,46.433013,-69.813915
4290277,46.420852,-69.931556
4290449,46.419992,-69.945172
4290275,46.421978,-69.905841
4290281,46.408695,-69.922724
4290285,46.388709,-69.872648
4290457,46.387477,-69.921949
4290289,46.400679,-69.980672
4290565,46.400366,-70.008079
4290291,46.382401,-69.987148
4290325,46.317999,-69.98066
4292699,46.20327,-69.91316
4290481,46.204927,-69.914407
